"","major","year_in_school","vote_status_2018","vote_status_2016","vote_intention_2020","voter_identity","feelings_on_voter_importance","desire_to_be_more_engaged","feelings_on_STEM_turnout","free_response","given_turnout_explanation","STEM_representation_better_gov","stem_dummy"
"21","A ECL","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Many are from other countries and cannot vote.","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"22","A ECL","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Strongly Agree","Yes","No","","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"23","A ECL","Transferred, undergraduate - equivalent to 1st or 2nd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","Yes","Yes","I feel politics does not affect STEM studies as much as it may liberal arts or other areas of studies, so they may not think about politics as often as other majors do.","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"24","A ECL","Undergraduate, 3rd year","No","Yes","Yes","Yes","Strongly Agree","Yes","Yes","Lack of time and interest to understand Important issues","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"25","A ECL","Transferred, undergraduate - equivalent to 3rd year or later","Yes","No","Yes","No","Neither agree nor disagree","No","No","Apathy, I am of the opinion that how I interact with the society around me is more important than what I think about some individual who I don't know personally who thinks that they are qualified to set policies and shape society from a position that is sort of removed from it.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"26","A ECL","Transferred, undergraduate - equivalent to 1st or 2nd year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","Yes","Yes","They don’t know enough about it","Lack of discussion on these topics in classes","Probably yes","Stem"
"27","A ECL","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Studying for STEM is stressful enough as it is, and politics add more stress. Also, politics are not interesting.","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"28","A ECL","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","I believe that we are more focused on school or science related issues rather than what is happening in our government. ","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"29","A ECL","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Presidential Candidates usually don't consider science when implementing acts","The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"30","A ECL","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Not sure","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"31","A ECL","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","No","Yes","Generalizing, stem majors may align with a third-party candidate (ie libertarian) or object to voting because they do not see either major candidate as favorable.","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"32","A ECL","Transferred, undergraduate - equivalent to 1st or 2nd year","No","Was not eligible","Yes","No","Strongly Agree","No","Yes","They’re not interested ","Lack of discussion on these topics in classes","Probably yes","Stem"
"33","A ECL","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Somewhat agree","No","No","anxiety ","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"57","ACSCI","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","STEM majors are historically hard majors, and are likely more focused on their classes than their non-STEM counterparts.","Lack of time due to course load","Probably yes","Stem"
"58","ACSCI","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Because they dint want to","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"59","ACSCI","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"63","AER E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","We have presumably more important things to do, whereas in reality that is not true","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Definitely yes","Stem"
"64","AER E","Undergraduate, 3rd year","No","Yes","Yes","Yes","Somewhat agree","Yes","No","Course loads make it difficult to stay informed","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"65","AER E","Undergraduate, 2nd year","Was not eligible","Was not eligible","No","No","Somewhat disagree","No","No","Less interested in politics","","Probably yes","Stem"
"66","AER E","Undergraduate, 1st year","No","Was not eligible","No","No","Somewhat agree","Yes","No","Focused more on current major than politics, higher stress, and complacency. I feel like voting has a factor of stress involved in it, such the fact that smart voters like to educate themselves on the politics of whom and where they’re voting before making a decision. I feel as if maybe some voters just pick someone without full perspective on who/what they’re voting for.","Lack of time due to course load","Definitely yes","Stem"
"67","AER E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","No","Just a lack of civic interest ","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"68","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Maybe the people in these majors tend to look at voting in a more mathematical way, and see themselves as insignificant. I also think the people in these majors have a (somewhat true) stereotype of being introverted, so would prefer not to go vote, but that seems far fetched.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"69","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Somewhat agree","Yes","Yes","Maybe they didn't care enough to vote","Lack of time due to course load,The belief that government and who is elected to it aren't important","Might or might not","Stem"
"70","AER E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","No","More time consuming majors, less likely to be politically involved in general","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"71","AER E","Undergraduate, 3rd year","No","No","No","No","Neither agree nor disagree","No","No","Politics don't matter because it's a popularity contest.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"72","AER E","Undergraduate, 2nd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","well it's only 10% lower, I'd say that's significant but not alarming. Perhaps us STEM majors are too busy studying to worry about local politics.","Lack of time due to course load","Probably not","Stem"
"73","AER E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","Time","Lack of time due to course load,Lack of discussion on these topics in classes","Might or might not","Stem"
"74","AER E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","No","Class schedules made it difficult for me to educate myself in candidates, and I thought an uneducated vote was worse than no vote. Also, I could not get to any polling place between classes due to transportation concerns. I imagine many of my peers felt the same way. ","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"75","AER E","Undergraduate, 5th year or later","No","Yes","Yes","Yes","Strongly Agree","Yes","No","We don’t have the time with our studies to go stand in lines to vote so we only vote in the general election because that seems most important ","Lack of time due to course load","Definitely yes","Stem"
"76","AER E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"77","AER E","Undergraduate, 1st year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","The workload is very high, so STEM majors tend to stay in ","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"78","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","Being in the STEM major I’ve noticed many students just not interested in politics.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"79","AER E","Undergraduate, 3rd year","No","Was not eligible","Yes","Yes","Strongly Agree","No","No","Many are somewhat apolitical","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"80","AER E","Transferred, undergraduate - equivalent to 1st or 2nd year","No","Yes","Yes","No","Somewhat agree","No","No","Don't pay attention, lack of info on dates and locations for voting","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"81","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Neither agree nor disagree","No","No","Because people don’t care","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"82","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","No","No","Nobody cares","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"83","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","No","Strongly Agree","No","No","Some stem majors probably just don’t care ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"84","AER E","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","No","Yes","","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"85","AER E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","We just got too much other stuff like homework and labs to worry about. Also our math brains know that one vote is useless on grand scheme of things.  ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"86","AER E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Apathy towards politics","Lack of time due to course load,The belief that government and who is elected to it aren't important","Definitely yes","Stem"
"87","AER E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","No","There are no political ties in the classes we take. Other than things like defense and military, politics rarely ever comes up in the subjects we study every day, unlike business, political science, sociology, etc. If politics were mentioned every day/week in my classes, it would probably be likely that more STEM vote","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Definitely yes","Stem"
"88","AER E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","a lot of stem people dont like to discuss politics for some reason","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"89","AER E","Undergraduate, 3rd year","No","Yes","Yes","Yes","Strongly Agree","No","No","Generally, STEM majors are quieter and tend to keep their heads down. They don’t generally try to make statements in politics and are far more concerned about new tech, games, coding, etc.","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"90","AER E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","Maybe people are too busy to vote. ","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"91","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","STEM majors generally aren't as politically active because it is not usually in their interest.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"92","AER E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Younger people in general don't vote at high percentages.","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably not","Stem"
"93","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Neither agree nor disagree","No","No","More focused on class ","The belief that mathematically speaking, any one individual vote doesn't matter","Definitely not","Stem"
"94","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They are probably busier than most other majors. Also, so long as we speak of voting as a “civic duty”,  STEM students who tend to pride themselves on being strictly rational will have no interest in participating in something for such a meaningless reason. I think if we want more STEM students to vote we have to talk more about the objective value of an individual vote, when we take into account the total impact the candidates have on everyone (not just the individual voter) and divide that by the chance that a single vote affects the election’s outcome ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"95","AER E","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Time constraints ","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"96","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Lack of discussion and time","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"97","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Lack of time.","Lack of time due to course load","Definitely yes","Stem"
"98","AER E","Undergraduate, 2nd year","No","Was not eligible","No","No","Somewhat agree","No","No","They are very busy with a lot of technical classes.","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"99","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","No","No","Somewhat agree","No","Yes","","","Probably yes","Stem"
"100","AER E","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Neither agree nor disagree","No","No","Apathy","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"101","AER E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","I feel that most Stem people don't care for politics and have other more important things on their mind.. Statistically speaking, Stem majors are more intelligent than most other majors and don't like the constant debates and annoyance of people who hate others just for political views. Also, the general election, is decided by the electoral college; not by individual voters. ","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"102","AER E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Until recently stem interested students probably haven’t been affected by politics. I would assume now with how important stem is growing world wide, the decisions made in Washington will be affecting us much more. Hopefully that brings the voting rate up.","The belief that government and who is elected to it aren't important","Might or might not","Stem"
"103","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","These Technical majors have many students from other countries who may not be eligible to vote in the United States","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"104","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","People who choose to major in STEM fields tend to be less interested in humanities, which have a much stronger connection to politics.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"105","AER E","Undergraduate, 2nd year","No","Was not eligible","Yes","No","Somewhat agree","No","No","Politics are very subjective while engineers work with objective facts","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"106","AER E","Undergraduate, 1st year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Perhaps students don't have enough time to research issues, and aren't informed on the matters, leading them to feel that they aren't informed enough to make a thoughtful decision, so they just don't vote.","Lack of time due to course load","Probably yes","Stem"
"107","AER E","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Was not eligible","Yes","No","Strongly disagree","Yes","No","High enough IQ to realize that it's all a sham","The belief that government and who is elected to it aren't important","Probably not","Stem"
"108","AER E","Transferred, undergraduate - equivalent to 1st or 2nd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Part of it could be the increased workload compared to many other degrees and part of it could be culture.","Lack of time due to course load,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"109","AER E","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","Antisocial/ isolative tendencies","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"110","AER E","Undergraduate, 4th year","No","Yes","Yes","Yes","Somewhat agree","No","Yes","Unsure","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"111","AER E","Transferred, undergraduate - equivalent to 3rd year or later","No","Yes","Yes","Yes","Somewhat agree","Yes","No","Black screen with text; The sound of buzzing bees can be heard)  According to all known laws  of aviation,  there is no way a bee  should be able to fly.  Its wings are too small to get  its fat little body off the ground.  The bee, of course, flies anyway  because bees don't care  what humans think is impossible.  BARRY BENSON:  (Barry is picking out a shirt)  Yellow, black. Yellow, black.  Yellow, black. Yellow, black.  Ooh, black and yellow!  Let's shake it up a little.  JANET BENSON:  Barry! Breakfast is ready!  BARRY:  Coming!  Hang on a second.  (Barry uses his antenna like a phone)  Hello?  ADAM FLAYMAN:  (Through phone)  - Barry?  BARRY:  - Adam?  ADAM:  - Can you believe this is happening?  BARRY:  - I can't. I'll pick you up.  (Barry flies down the stairs)  MARTIN BENSON:  Looking sharp.  JANET:  Use the stairs. Your father  paid good money for those.  BARRY:  Sorry. I'm excited.  MARTIN:  Here's the graduate.  We're very proud of you, son.  A perfect report card, all B's.  JANET:  Very proud.  (Rubs Barry's hair)  BARRY=  Ma! I got a thing going here.  JANET:  - You got lint on your fuzz.  BARRY:  - Ow! That's me!  JANET:  - Wave to us! We'll be in row 118,000.  - Bye!  (Barry flies out the door)  JANET:  Barry, I told you,  stop flying in the house!  (Barry drives through the hive,and is waved at by Adam who is reading a newspaper)  BARRY==  - Hey, Adam.  ADAM:  - Hey, Barry.  (Adam gets in Barry's car)  - Is that fuzz gel?  BARRY:  - A little. Special day, graduation.  ADAM:  Never thought I'd make it.  (Barry pulls away from the house and continues driving)  BARRY:  Three days grade school,  three days high school...  ADAM:  Those were awkward.  BARRY:  Three days college. I'm glad I took  a day and hitchhiked around the hive.  ADAM==  You did come back different.  (Barry and Adam pass by Artie, who is jogging)  ARTIE:  - Hi, Barry!  BARRY:  - Artie, growing a mustache? Looks good.  ADAM:  - Hear about Frankie?  BARRY:  - Yeah.  ADAM==  - You going to the funeral?  BARRY:  - No, I'm not going to his funeral.  Everybody knows,  sting someone, you die.  Don't waste it on a squirrel.  Such a hothead.  ADAM:  I guess he could have  just gotten out of the way.  (The car does a barrel roll on the loop-shaped bridge and lands on the highway)  I love this incorporating  an amusement park into our regular day.  BARRY:  I guess that's why they say we don't need vacations.  (Barry parallel parks the car and together they fly over the graduating students)  {♬ Playing ""Pomp and Circumstance"" ♬}  Boy, quite a bit of pomp...  under the circumstances.  (Barry and Adam sit down and put on their hats)  - Well, Adam, today we are men.  ADAM:  - We are!  BARRY=  - Bee-men.  =ADAM=  - Amen!  BARRY AND ADAM:  Hallelujah!  (Barry and Adam both have a happy spasm)  {♬ ""Pomp and Circumstance"" Ends ♬}  ANNOUNCER:  Students, faculty, distinguished bees,  please welcome Dean Buzzwell.  DEAN BUZZWELL:  Welcome, New Hive Oity  graduating class of...  ...9: 15.  That concludes our ceremonies.  And begins your career  at Honex Industries!  ADAM:  Will we pick our job today?  (Adam and Barry get into a tour bus)  BARRY=  I heard it's just orientation.  (Tour buses rise out of the ground and the students are automatically loaded into the buses)  TOUR GUIDE:  Heads up! Here we go.  ANNOUNCER:  Keep your hands and antennas  inside the tram at all times.  BARRY:  - Wonder what it'll be like?  ADAM:  - A little scary.  TOUR GUIDE==  Welcome to Honex,  a division of Honesco  and a part of the Hexagon Group.  Barry:  This is it!  BARRY AND ADAM:  Wow.","Lack of time due to course load,The belief that government and who is elected to it aren't important","Probably yes","Stem"
"112","AER E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"113","AER E","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Changes with regard to most policies effect STEM careers to a lesser extent than others.","Lack of time due to course load,The belief that government and who is elected to it aren't important","Probably yes","Stem"
"114","AER E","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"153","AGRON","Undergraduate, 1st year","Yes","Was not eligible","Yes","No","Somewhat agree","Yes","Yes","Unmotivated to vote","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"154","AGRON","Undergraduate, 3rd year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","There's more STEM majors than CS, Engineering, and Math- namely Biology and Agriculture related majors","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"155","AGRON","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","No","Yes","","Lack of time due to course load","Probably yes","Stem"
"156","AGRON","Transferred, undergraduate - equivalent to 3rd year or later","No","Yes","Yes","Yes","Strongly Agree","No","No","They are more disconnected from the political environment other than funding.","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"157","AGRON","Undergraduate, 4th year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Busier/focus in coursework is different- our brains aren’t thinking of it as much as a priority ","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"158","AGRON","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","No","No","Don’t make it a priority to vote and that the likely candidate to win has enough votes that you don’t need to go and vote.","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"159","AGRON","Undergraduate, 3rd year","Was not eligible","Was not eligible","Yes","No","Neither agree nor disagree","Yes","No","We are more grounded in reality than other idealistic majors and understand our vote has little impact. Also don't care much for idealistic political arguments when it is unlikely any large changes will come anyway.","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"160","AGRON","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","Not knowledgeable ","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"161","AGRON","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","Too time-consuming of a process to talk about politics when the task at hand is more important.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"162","AGRON","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","No","No","","The belief that government and who is elected to it aren't important","Probably yes","Stem"
